title,type-of-cuisine,ingredients,image-url,price_inr,rating,calories,diet_type
Masala Karela,Indian,"salt,amchur (dry mango powder),karela (bitter gourd pavakkai),red chilli powder,gram flour (besan),onion,cumin seeds (jeera),coriander powder,turmeric powder,sunflower oil",https://images.slurrp.com/prod/recipe_images/tarla-dalal/onion-and-karela-sabzi-7452-1619098371_DEHEV3C61GVATPFHEEH2.webp?impolicy=slurrp-20210601&width=1200&height=900&q=75,220,4.4,530,veg
Spicy Tomato Rice,South Indian Recipes,"tomato,salt,chickpea lentils,green chilli,rice,mustard,bc belle bhat powder,dry red chilli,cashew peanuts,oilasafoetida,cumin seeds,white urad dal",https://www.allrecipes.com/thmb/eKu_vXTbZJMdFsd5JdbY7kvDy80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/79543-fried-rice-restaurant-style-DDMFS-4x3-b79a6ea27e0344399257ca1df67ca1cd.jpg,70,4.1,565,veg
Ragi Semiya Upma - Ragi Millet Vermicelli Breakfast,South Indian Recipes,"salt,rice vermicelli noodles (thin),asafoetida (hing),mustard seeds,ghee,green peas (matar),carrot,curry leaves,white urad dal (split),onion,lemon,green chillies",https://www.kuchpakrahahai.in/wp-content/uploads/2016/09/Vegetable-rawa-upma.jpg,180,4.5,510,veg
Gongura Chicken Curry - Andhra Style Gongura Chicken,Andhra,"tomato,salt,ginger,sorrel leaves (gongura),fennel seeds (saunf),sesame (gingelly) oil,cloves garlic,coriander (dhania) seeds,onion,chicken,methi seeds (fenugreek seeds),dry red chillies,turmeric powder,green chillies,garam masala powder",https://www.allrecipes.com/thmb/koFD08H_utDaUsNc578_YZ2peFg=/0x512/filters:no_upscale():max_bytes(150000):strip_icc()/8635-southern-fried-chicken-ddmfs_4x3-90736ab31a7a4bb59eb04e2380ccebe7.jpg,150,5,490,non-veg
Andhra Style Alam Pachadi - Adrak Chutney (),Andhra,"tomato,salt,ginger,red chillies,curry,asafoetida,mustard,chana dal,onion,oil,coriander seeds,white urad dal",https://savoryspin.com/wp-content/uploads/2025/01/Easy-pear-chutney.jpg,90,4.1,115,veg
Pudina Khara Pongal (Rice and Lentils Cooked With Mint Leaves & Mild Spices),South Indian Recipes,"cashew nuts,salt,yellow moong dal (split),ginger,green chilli,rice,coriander (dhania) leaves,ghee,asafoetida (hing),water,black peppercorns,curry leaves,cumin seeds (jeera),mint leaves (pudina),sunflower oil",https://www.allrecipes.com/thmb/eKu_vXTbZJMdFsd5JdbY7kvDy80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/79543-fried-rice-restaurant-style-DDMFS-4x3-b79a6ea27e0344399257ca1df67ca1cd.jpg,150,4.1,735,veg
Udupi Style Ash Gourd Coconut Curry,Udupi,"salt,tamarind water,coconut,mustard seeds,jaggery,vellai poosanikai (ash gourdwhite pumpkin),curry leaves,dry red chillies,coriander (dhania) seeds,methi seeds (fenugreek seeds),cumin seeds (jeera),turmeric powder,sesame seeds (til seeds),sunflower oil",https://cdn.apartmenttherapy.info/image/upload/v1631883973/k/Photo/Recipes/2021-09-sonoko-sakai-curry-with-rice/2021-09-09_ATK10551.jpg,100,5,255,veg
Mexican Style Black Bean Burrito,Mexican,"tomato,spring onion greens,hung curd (greek yogurt),black beans,cloves garlic,rice brown rice,coriander (dhania) leaves,onion,lemon,cheddar cheese,spinach leaves (palak),tortillas",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYUIsvrMC5KTiuyCY7x3zcnlKE686eu6I5vw&s,370,4.6,860,veg
Spicy Crunchy Masala Idli,South Indian Recipes,"tomato,salt,coriander (dhania) leaves,idli,red chilli powder,tomato ketchup,onion,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,green chillies,sunflower oil",https://i0.wp.com/www.chitrasfoodbook.com/wp-content/uploads/2018/12/Instant-Suji-idli.jpg?ssl=1,180,4,325,veg
Cauliflower Leaves Chutney,South Indian Recipes,"tomato,salt,turmeric powder,red chillies,spoon oil,rye,asafoetida,cloves garlic,curry leaves,cabbage leaves,tamarind,cumin seeds,white urad dal",https://savoryspin.com/wp-content/uploads/2025/01/Easy-pear-chutney.jpg,140,4.5,140,veg
